Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-1439452,4090,5.887358679999999
1.006,-1402343,4090,5.73558287
2.009,-1270507,4090,5.19637363
3.012,-1288085,4090,5.26826765
4.015,-1382323,4090,5.65370107
5.019,-1266600,4090,5.180394
6.023,-1251952,4090,5.1204836799999995
7.034,-1273925,4090,5.21035325
8.037,-1425780,4090,5.8314402
9.045,-1345214,4090,5.501925259999999
10.048,-1274901,4102,5.229643902
11.05,-1386718,4102,5.6883172360000005
12.055,-1321288,4102,5.419923376000001
13.058,-1249999,4102,5.127495898000001
14.061,-1234862,4102,5.065403924000001
15.068,-1320311,4102,5.415915722
16.071,-1258300,4103,5.162804899999999
17.074,-1276854,4103,5.238931962
18.077,-1281249,4103,5.256964647
19.081,-1358886,4103,5.575509257999999
20.085,-1264647,4103,5.188846640999999
21.088,-1235839,4103,5.070647416999999
22.091,-1440428,4103,5.910076084
23.094,-1364745,4103,5.599548734999999
24.097,-1353026,4103,5.551465678
25.1,-1385741,4103,5.685695322999999
26.106,-1394042,4103,5.7197543259999994
27.109,-1358397,4103,5.5735028909999995
28.112,-1290526,4103,5.295028178
29.115,-1274901,4103,5.230918803
30.119,-1414061,4091,5.784923551
31.122,-1246093,4091,5.097766463000001
32.128,-1572753,4091,6.434132523
33.133,-1586913,4091,6.492061083
34.136,-1480956,4091,6.058590996
35.139,-1405760,4091,5.75096416
36.143,-1346678,4091,5.509259698
37.147,-1235839,4091,5.055817349
38.15,-1220702,4091,4.993891882
39.154,-1284667,4091,5.255572697
40.157,-1385741,4092,5.670452171999999
41.159,-1365721,4092,5.5885303319999995
42.162,-1269530,4092,5.19491676
43.169,-1324218,4092,5.418700056
44.171,-1449218,4092,5.930200056
45.175,-1203124,4092,4.923183408
46.178,-1224608,4092,5.011095935999999
47.184,-1282225,4092,5.2468647
48.188,-1460448,4092,5.976153216
49.191,-1446776,4092,5.920207392
50.194,-1288085,4098,5.27857233
51.198,-1270995,4098,5.208537509999999
52.201,-1488280,4098,6.09897144
53.207,-1377440,4098,5.64474912
54.211,-1392577,4098,5.706780546
55.215,-1478514,4098,6.058950371999999
56.218,-1484374,4098,6.082964652
57.222,-1316405,4098,5.39462769
58.225,-1252929,4098,5.134503042
59.228,-1324218,4098,5.4266453640000005
60.232,-1411620,4089,5.77211418
61.235,-1401854,4089,5.732181006
62.238,-1283690,4098,5.26056162
63.24,-1335936,4098,5.474665728
64.243,-1286620,4098,5.2725687599999995
65.248,-1257811,4098,5.154509478
66.251,-1289061,4098,5.282571978
67.254,-1355956,4098,5.5567076879999995
68.257,-1286620,4098,5.2725687599999995
69.26,-1290526,4098,5.288575548
70.264,-1270018,4099,5.205803782
