interface,received-bytes,received-packets,received-errs,received-drop,received-fifo,received-frame,received-compressed,received-multicast,sent-bytes,sent-packets,sent-errs,sent-drop,sent-fifo,sent-colls,sent-carrier,sent-compressed,device,app,app_details,is_record,is_wireless,repetition
wlan0,1793589945,1372591,0,0,0,0,0,1155,157137234,382969,0,106,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,1859018,32976,0,0,0,0,0,26,101107537,67270,0,24,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1806089186,1383833,0,0,0,0,0,1163,161305434,390711,0,107,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,1967178,35056,0,0,0,0,0,26,107337638,71406,0,25,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1811781980,1389299,0,0,0,0,0,1185,163387608,394581,0,109,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,1967206,35057,0,0,0,0,0,26,107337680,71407,0,25,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1816670971,1395048,0,0,0,0,0,1197,166082247,399568,0,111,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,1967206,35057,0,0,0,0,0,26,107337680,71407,0,25,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1830752952,1407727,0,0,0,0,0,1206,170360073,408076,0,113,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,1967206,35057,0,0,0,0,0,26,107337680,71407,0,25,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1836338093,1413218,0,0,0,0,0,1217,172849040,412241,0,114,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,1967206,35057,0,0,0,0,0,26,107337680,71407,0,25,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1846953426,1422689,0,0,0,0,0,1242,176361492,418497,0,115,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,1967206,35057,0,0,0,0,0,26,107337680,71407,0,25,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1853342124,1428512,0,0,0,0,0,1254,178656670,422608,0,115,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,1967206,35057,0,0,0,0,0,26,107337680,71407,0,25,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1858367088,1432844,0,0,0,0,0,1254,180111444,425350,0,116,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,1967206,35057,0,0,0,0,0,26,107337680,71407,0,25,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1866025080,1439996,0,0,0,0,0,1261,182805692,430668,0,119,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,1967206,35057,0,0,0,0,0,26,107337680,71407,0,25,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
