interface,received-bytes,received-packets,received-errs,received-drop,received-fifo,received-frame,received-compressed,received-multicast,sent-bytes,sent-packets,sent-errs,sent-drop,sent-fifo,sent-colls,sent-carrier,sent-compressed,device,app,app_details,is_record,is_wireless,repetition
p2p-wlan0-0,6748649,110194,0,0,0,0,0,28,335164401,222762,0,103,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,9522033001,8141721,0,0,0,0,0,5348,1090336964,2919928,0,943,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,6748649,110194,0,0,0,0,0,28,335164401,222762,0,103,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,9526970032,8146355,0,0,0,0,0,5359,1091353170,2922255,0,946,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,6772933,110661,0,0,0,0,0,28,336622573,223727,0,103,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,9531688523,8150715,0,0,0,0,0,5360,1092205369,2924486,0,946,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,6792277,111033,0,0,0,0,0,28,337675556,224424,0,105,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,9535771394,8154675,0,0,0,0,0,5361,1092912931,2926611,0,948,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,6792277,111033,0,0,0,0,0,28,337675556,224424,0,105,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,9539907346,8158645,0,0,0,0,0,5361,1093629880,2928677,0,948,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,6792277,111033,0,0,0,0,0,28,337675556,224424,0,105,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,9544634002,8163045,0,0,0,0,0,5371,1094351692,2930715,0,948,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,6792277,111033,0,0,0,0,0,28,337675556,224424,0,105,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,9548927146,8167091,0,0,0,0,0,5371,1095068653,2932807,0,949,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,6792277,111033,0,0,0,0,0,28,337675556,224424,0,105,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,9554211430,8171926,0,0,0,0,0,5371,1095813632,2935033,0,950,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,6792277,111033,0,0,0,0,0,28,337675556,224424,0,105,0,0,0,0,clumsy-dropchance-0.001,Quest-Pro,BeatSaber,False,False,PopStars-Medium
