interface,received-bytes,received-packets,received-errs,received-drop,received-fifo,received-frame,received-compressed,received-multicast,sent-bytes,sent-packets,sent-errs,sent-drop,sent-fifo,sent-colls,sent-carrier,sent-compressed,device,app,app_details,is_record,is_wireless,repetition
p2p-wlan0-0,2817432,54010,0,0,0,0,0,25,169191956,112446,0,54,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5395339019,3932344,0,0,0,0,0,1353,248450863,740091,0,235,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2817432,54010,0,0,0,0,0,25,169191956,112446,0,54,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5401063099,3938424,0,0,0,0,0,1353,250295390,744368,0,235,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2817432,54010,0,0,0,0,0,25,169191956,112446,0,54,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5409373636,3947782,0,0,0,0,0,1374,253292724,751496,0,237,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2817432,54010,0,0,0,0,0,25,169191956,112446,0,54,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5414040992,3952937,0,0,0,0,0,1385,254678109,754986,0,237,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2894756,55497,0,0,0,0,0,25,173703881,115428,0,54,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5423313251,3962744,0,0,0,0,0,1404,257456060,761819,0,240,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2894756,55497,0,0,0,0,0,25,173703881,115428,0,54,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5425701202,3965415,0,0,0,0,0,1404,258176974,763710,0,240,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2894840,55499,0,0,0,0,0,26,173703993,115430,0,54,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5431125529,3971206,0,0,0,0,0,1405,259778258,767795,0,241,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3383027,57284,0,0,0,0,0,26,178220257,118573,0,58,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5437195451,3977736,0,0,0,0,0,1419,262173288,772803,0,246,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3458947,58744,0,0,0,0,0,26,182712343,121541,0,58,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5442225608,3983023,0,0,0,0,0,1451,263688679,776498,0,246,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3458947,58744,0,0,0,0,0,26,182712343,121541,0,58,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5444554759,3988379,0,0,0,0,0,1467,265606393,781548,0,247,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3458947,58744,0,0,0,0,0,26,182712343,121541,0,58,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5445879918,3990654,0,0,0,0,0,1467,266330601,783497,0,247,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3458947,58744,0,0,0,0,0,26,182712343,121541,0,58,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5447680199,3993306,0,0,0,0,0,1470,267198673,785791,0,247,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3458947,58744,0,0,0,0,0,26,182712343,121541,0,58,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5453099779,4000518,0,0,0,0,0,1491,269349701,791410,0,249,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3458947,58744,0,0,0,0,0,26,182712343,121541,0,58,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5454636704,4002907,0,0,0,0,0,1495,270079615,793296,0,249,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3458947,58744,0,0,0,0,0,26,182712343,121541,0,58,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5455730184,4005300,0,0,0,0,0,1495,270826648,795295,0,249,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3538507,60274,0,0,0,0,0,26,187366334,124616,0,58,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5464356914,4015764,0,0,0,0,0,1509,273759145,802741,0,251,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3538507,60274,0,0,0,0,0,26,187366334,124616,0,58,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5466306228,4018058,0,0,0,0,0,1519,274464975,804349,0,251,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3538535,60275,0,0,0,0,0,26,187366376,124617,0,58,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5472842477,4026311,0,0,0,0,0,1531,276661192,810348,0,251,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3538535,60275,0,0,0,0,0,26,187366376,124617,0,58,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5477731335,4032530,0,0,0,0,0,1540,278360959,814901,0,252,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3548883,60474,0,0,0,0,0,26,187988725,125029,0,58,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5481424882,4036990,0,0,0,0,0,1552,279600579,818209,0,253,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3618303,61809,0,0,0,0,0,26,192008678,127685,0,59,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5482559598,4039325,0,0,0,0,0,1553,280337457,820179,0,254,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3618303,61809,0,0,0,0,0,26,192008678,127685,0,59,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5487471850,4045256,0,0,0,0,0,1554,282030016,824605,0,255,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3618331,61810,0,0,0,0,0,26,192008720,127686,0,59,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5490993893,4049467,0,0,0,0,0,1556,283267315,827856,0,255,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,3618331,61810,0,0,0,0,0,26,192008720,127686,0,59,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,5495608996,4055725,0,0,0,0,0,1567,284995230,832615,0,257,0,0,0,0,clumsy-dropchance-0.01,Quest-Pro,BeatSaber,False,False,PopStars-Medium
