CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,experiment,device,repetition
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.5C/0.0C,3.54ms,0.95ms,0.24ms,13.12ms,2(DR0,0.36,0.07(W0.14),1.00,18.63/22.11,21.23,1,1.21,0,0,17:31:21.088,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.5C/0.0C,3.54ms,0.88ms,0.24ms,13.12ms,2(DR0,0.36,0.08(W0.14),1.00,18.42/22.26,21.21,1,1.21,0,0,17:31:22.088,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.5C/0.0C,3.53ms,0.83ms,0.25ms,13.12ms,2(DR0,0.35,0.13(W0.18),1.00,18.62/22.39,21.27,1,1.21,0,0,17:31:23.088,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.5C/0.0C,3.54ms,0.80ms,0.25ms,13.12ms,2(DR0,0.36,0.19(W0.24),1.00,18.56/22.28,21.18,1,1.21,0,0,17:31:24.088,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,6,3/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.5C/0.0C,3.56ms,0.72ms,0.24ms,13.12ms,2(DR0,0.35,0.16(W0.25),1.00,17.56/25.98,25.27,1,1.21,0,0,17:31:25.088,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,5,0/1/0/5,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.5C/0.0C,3.37ms,0.74ms,0.24ms,13.88ms,2(DR0,0.33,0.08(W0.10),1.00,20.36/25.56,24.17,1,1.21,0,0,17:31:26.088,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.2C/0.0C,3.37ms,0.76ms,0.25ms,13.87ms,2(DR0,0.33,0.21(W0.26),1.00,19.62/24.40,22.50,1,1.21,0,0,17:31:27.089,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.2C/0.0C,3.38ms,0.70ms,0.24ms,13.87ms,2(DR0,0.35,0.13(W0.22),1.00,19.29/23.36,21.79,1,1.21,0,0,17:31:28.089,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.2C/0.0C,3.38ms,0.71ms,0.24ms,13.86ms,2(DR0,0.33,0.08(W0.14),1.00,18.77/23.17,21.61,1,1.21,0,0,17:31:29.089,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,7,0/1/0/7,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.2C/0.0C,3.34ms,0.75ms,0.24ms,13.86ms,2(DR0,0.33,0.07(W0.10),1.00,18.90/22.67,21.25,1,1.21,0,0,17:31:30.089,100,Quest-Pro,replay1.2
3,4,1382,525,70,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.2C/0.0C,3.34ms,0.63ms,0.24ms,14.16ms,2(DR0,0.33,0.08(W0.14),1.00,18.68/22.74,21.11,1,1.21,0,0,17:31:31.089,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.2C/0.0C,3.22ms,0.70ms,0.24ms,13.86ms,2(DR0,0.32,0.18(W0.23),1.00,18.42/22.65,21.15,1,1.21,0,0,17:31:32.089,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.2C/0.0C,3.37ms,0.73ms,0.25ms,13.86ms,2(DR0,0.33,0.09(W0.18),1.00,18.37/22.75,21.18,1,1.21,0,0,17:31:33.089,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.2C/0.0C,3.39ms,0.84ms,0.24ms,13.86ms,2(DR0,0.34,0.07(W0.10),1.00,18.56/22.70,21.15,1,1.21,0,0,17:31:34.089,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7891,0,31.2C/0.0C,3.41ms,0.75ms,0.24ms,13.85ms,2(DR0,0.34,0.13(W0.25),1.00,18.52/22.45,21.40,1,1.21,0,0,17:31:35.089,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,4,1/0/0/4,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.48ms,0.89ms,0.25ms,13.85ms,2(DR0,0.35,0.10(W0.14),1.00,18.48/22.70,21.49,1,1.21,0,0,17:31:36.096,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.48ms,0.82ms,0.24ms,13.38ms,2(DR0,0.35,0.07(W0.15),1.00,18.85/22.52,21.46,1,1.21,0,0,17:31:37.089,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.45ms,0.81ms,0.25ms,13.12ms,2(DR0,0.35,0.13(W0.25),1.00,18.97/22.51,21.30,1,1.21,0,0,17:31:38.089,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.46ms,0.77ms,0.24ms,13.13ms,2(DR0,0.35,0.10(W0.14),1.00,18.38/22.51,21.20,1,1.21,0,0,17:31:39.089,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,4,1/0/0/4,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.44ms,0.81ms,0.25ms,13.12ms,2(DR0,0.36,0.10(W0.15),1.00,18.68/22.47,21.25,1,1.21,0,0,17:31:40.089,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.42ms,0.79ms,0.24ms,13.12ms,2(DR0,0.35,0.17(W0.23),1.00,18.66/22.20,21.10,1,1.21,0,0,17:31:41.089,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.42ms,0.87ms,0.25ms,13.11ms,2(DR0,0.36,0.17(W0.22),1.00,18.45/22.04,21.06,1,1.21,0,0,17:31:42.090,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,5,0/1/0/5,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.41ms,0.75ms,0.25ms,13.12ms,2(DR0,0.36,0.19(W0.23),1.00,18.71/22.37,21.25,1,1.21,0,0,17:31:43.090,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.40ms,0.82ms,0.24ms,13.29ms,2(DR0,0.36,0.13(W0.18),1.00,18.62/22.51,21.36,1,1.21,0,0,17:31:44.090,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.41ms,0.86ms,0.24ms,13.12ms,2(DR0,0.35,0.21(W0.25),1.00,18.55/22.05,21.18,1,1.21,0,0,17:31:45.090,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.38ms,0.78ms,0.24ms,13.12ms,2(DR0,0.34,0.11(W0.18),1.00,18.52/22.52,21.38,1,1.21,0,0,17:31:46.090,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.36ms,0.79ms,0.25ms,13.12ms,2(DR0,0.34,0.08(W0.14),1.00,18.66/22.71,21.37,1,1.21,0,0,17:31:47.090,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.37ms,0.80ms,0.24ms,13.12ms,2(DR0,0.34,0.14(W0.18),1.00,18.60/23.38,21.44,1,1.21,0,0,17:31:48.090,100,Quest-Pro,replay1.2
