Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-830565,3988,3.3122932200000004
0.126,-830565,3988,3.3122932200000004
0.628,-830565,3988,3.3122932200000004
1.001,-854491,3988,3.407710108
1.13,-854491,3988,3.407710108
1.632,-854491,3988,3.407710108
2.003,-799804,3988,3.1896183519999997
2.134,-799804,3988,3.1896183519999997
2.635,-799804,3988,3.1896183519999997
3.006,-909667,3988,3.627751996
3.137,-909667,3988,3.627751996
3.639,-909667,3981,3.621384327
4.009,-806151,3981,3.2092871309999995
4.14,-806151,3981,3.2092871309999995
4.642,-806151,3981,3.2092871309999995
5.011,-814452,3981,3.242333412
5.145,-814452,3981,3.242333412
5.651,-814452,3981,3.242333412
6.013,-837401,3981,3.333693381
6.152,-837401,3981,3.333693381
6.654,-837401,3988,3.339555188
7.016,-840819,3988,3.353186172
7.156,-840819,3988,3.353186172
7.658,-840819,3988,3.353186172
8.018,-902831,3988,3.6004900280000003
8.16,-902831,3988,3.6004900280000003
8.662,-902831,3988,3.6004900280000003
9.019,-699706,3988,2.7904275280000004
9.163,-699706,3988,2.7904275280000004
9.665,-699706,3988,2.7904275280000004
10.021,-686523,3988,2.737853724
10.168,-686523,3988,2.737853724
10.67,-686523,3988,2.737853724
11.025,-784667,3988,3.129251996
11.172,-784667,3988,3.129251996
11.674,-784667,3989,3.130036663
12.027,-765136,3989,3.0521275039999995
12.176,-765136,3989,3.0521275039999995
12.679,-765136,3989,3.0521275039999995
13.029,-702148,3989,2.800868372
13.181,-702148,3989,2.800868372
13.683,-702148,3989,2.800868372
14.031,-813476,3989,3.2449557639999997
14.186,-813476,3989,3.2449557639999997
14.688,-813476,3989,3.2449557639999997
15.033,-796386,3989,3.1767837539999997
15.19,-796386,3989,3.1767837539999997
15.692,-796386,3989,3.1767837539999997
16.036,-791991,3989,3.1592520989999997
16.193,-791991,3989,3.1592520989999997
16.695,-791991,3988,3.158460108
17.038,-771972,3988,3.078624336
17.198,-771972,3988,3.078624336
17.7,-771972,3988,3.078624336
18.04,-788085,3988,3.14288298
18.202,-788085,3988,3.14288298
18.704,-788085,3988,3.14288298
19.043,-885741,3988,3.532335108
19.208,-885741,3988,3.532335108
19.711,-885741,3988,3.532335108
20.046,-879882,3981,3.502810242
20.213,-879882,3981,3.502810242
20.715,-879882,3981,3.502810242
21.05,-942870,3981,3.75356547
21.216,-942870,3981,3.75356547
21.719,-942870,3981,3.75356547
22.052,-924804,3981,3.681644724
22.22,-924804,3981,3.681644724
22.722,-924804,3981,3.681644724
23.054,-818358,3981,3.2578831979999996
23.224,-818358,3981,3.2578831979999996
23.725,-818358,3981,3.2578831979999996
24.056,-864257,3981,3.4406071169999994
24.227,-864257,3981,3.4406071169999994
24.729,-864257,3981,3.4406071169999994
25.058,-838378,3981,3.337582818
25.231,-838378,3981,3.337582818
25.733,-838378,3981,3.337582818
26.06,-831542,3981,3.310368702
26.235,-831542,3981,3.310368702
26.737,-871093,3986,3.472176698
27.062,-871093,3986,3.472176698
