log start time: 08-02-2024_03-43-07
0 k /user/hand/left/output/haptic 1
0 k /user/hand/right/output/haptic 1
13888889 k /user/hand/left/output/haptic 1
13888889 k /user/hand/right/output/haptic 1
69423999 k /user/hand/left/output/haptic 1
69423999 k /user/hand/right/output/haptic 1
124960099 k /user/hand/left/output/haptic 1
124960099 k /user/hand/right/output/haptic 1
194401656 k /user/hand/left/output/haptic 1
194401656 k /user/hand/right/output/haptic 1
222161878 k /user/hand/left/output/haptic 1
222161878 k /user/hand/right/output/haptic 1
236050768 k /user/hand/left/output/haptic 1
236050768 k /user/hand/right/output/haptic 1
263819468 k /user/hand/left/output/haptic 1
263819468 k /user/hand/right/output/haptic 1
277705369 k /user/hand/left/output/haptic 1
277705369 k /user/hand/right/output/haptic 1
291584678 k /user/hand/left/output/haptic 1
291584678 k /user/hand/right/output/haptic 1
305469676 k /user/hand/left/output/haptic 1
305469676 k /user/hand/right/output/haptic 1
319355277 k /user/hand/left/output/haptic 1
319355277 k /user/hand/right/output/haptic 1
333239777 k /user/hand/left/output/haptic 1
333239777 k /user/hand/right/output/haptic 1
333239778 k /user/hand/left/output/haptic 1
333239778 k /user/hand/right/output/haptic 1
347120988 k /user/hand/left/output/haptic 1
347120988 k /user/hand/right/output/haptic 1
361004288 k /user/hand/left/output/haptic 1
361004288 k /user/hand/right/output/haptic 1
374885000 k /user/hand/left/output/haptic 1
374885000 k /user/hand/right/output/haptic 1
388769598 k /user/hand/left/output/haptic 1
388769598 k /user/hand/right/output/haptic 1
402654699 k /user/hand/left/output/haptic 1
402654699 k /user/hand/right/output/haptic 1
416543588 k /user/hand/left/output/haptic 1
416543588 k /user/hand/right/output/haptic 1
430425888 k /user/hand/left/output/haptic 1
430425888 k /user/hand/right/output/haptic 1
444312088 k /user/hand/left/output/haptic 1
444312088 k /user/hand/right/output/haptic 1
458195587 k /user/hand/left/output/haptic 1
458195587 k /user/hand/right/output/haptic 1
472079787 k /user/hand/left/output/haptic 1
472079787 k /user/hand/right/output/haptic 1
485966388 k /user/hand/left/output/haptic 1
485966388 k /user/hand/right/output/haptic 1
499847200 k /user/hand/left/output/haptic 1
499847200 k /user/hand/right/output/haptic 1
513736090 k /user/hand/left/output/haptic 1
513736090 k /user/hand/right/output/haptic 1
527619487 k /user/hand/left/output/haptic 1
527619487 k /user/hand/right/output/haptic 1
541504187 k /user/hand/left/output/haptic 1
541504187 k /user/hand/right/output/haptic 1
555384400 k /user/hand/left/output/haptic 1
555384400 k /user/hand/right/output/haptic 1
569273288 k /user/hand/left/output/haptic 1
569273288 k /user/hand/right/output/haptic 1
583159888 k /user/hand/left/output/haptic 1
583159888 k /user/hand/right/output/haptic 1
597043089 k /user/hand/left/output/haptic 1
597043089 k /user/hand/right/output/haptic 1
610924487 k /user/hand/left/output/haptic 1
610924487 k /user/hand/right/output/haptic 1
624811686 k /user/hand/left/output/haptic 1
624811686 k /user/hand/right/output/haptic 1
638690699 k /user/hand/left/output/haptic 1
638690699 k /user/hand/right/output/haptic 1
652576199 k /user/hand/left/output/haptic 1
652576199 k /user/hand/right/output/haptic 1
666460099 k /user/hand/left/output/haptic 1
666460099 k /user/hand/right/output/haptic 1
680348989 k /user/hand/left/output/haptic 1
680348989 k /user/hand/right/output/haptic 1
694229599 k /user/hand/left/output/haptic 1
694229599 k /user/hand/right/output/haptic 1
708118489 k /user/hand/left/output/haptic 1
708118489 k /user/hand/right/output/haptic 1
721997498 k /user/hand/left/output/haptic 1
721997498 k /user/hand/right/output/haptic 1
735886389 k /user/hand/left/output/haptic 1
735886389 k /user/hand/right/output/haptic 1
