log start time: 08-02-2024_03-56-03
1221806702 k /user/hand/left/output/haptic 1
1221806702 k /user/hand/right/output/haptic 1
1235693000 k /user/hand/left/output/haptic 1
1235693000 k /user/hand/right/output/haptic 1
1249574602 k /user/hand/left/output/haptic 1
1249574602 k /user/hand/right/output/haptic 1
1263463491 k /user/hand/left/output/haptic 1
1263463491 k /user/hand/right/output/haptic 1
1277352382 k /user/hand/left/output/haptic 1
1277352382 k /user/hand/right/output/haptic 1
1291241270 k /user/hand/left/output/haptic 1
1291241270 k /user/hand/right/output/haptic 1
1305112512 k /user/hand/left/output/haptic 1
1305112512 k /user/hand/right/output/haptic 1
1318994112 k /user/hand/left/output/haptic 1
1318994112 k /user/hand/right/output/haptic 1
1332880513 k /user/hand/left/output/haptic 1
1332880513 k /user/hand/right/output/haptic 1
1346769401 k /user/hand/left/output/haptic 1
1346769401 k /user/hand/right/output/haptic 1
1360654804 k /user/hand/left/output/haptic 1
1360654804 k /user/hand/right/output/haptic 1
1374531613 k /user/hand/left/output/haptic 1
1374531613 k /user/hand/right/output/haptic 1
1388418114 k /user/hand/left/output/haptic 1
1388418114 k /user/hand/right/output/haptic 1
1402307001 k /user/hand/left/output/haptic 1
1402307001 k /user/hand/right/output/haptic 1
1416186513 k /user/hand/left/output/haptic 1
1416186513 k /user/hand/right/output/haptic 1
1430075400 k /user/hand/left/output/haptic 1
1430075400 k /user/hand/right/output/haptic 1
1443962301 k /user/hand/left/output/haptic 1
1443962301 k /user/hand/right/output/haptic 1
1457841013 k /user/hand/left/output/haptic 1
1457841013 k /user/hand/right/output/haptic 1
1471725014 k /user/hand/left/output/haptic 1
1471725014 k /user/hand/right/output/haptic 1
1485613901 k /user/hand/left/output/haptic 1
1485613901 k /user/hand/right/output/haptic 1
1499496601 k /user/hand/left/output/haptic 1
1499496601 k /user/hand/right/output/haptic 1
1513381700 k /user/hand/left/output/haptic 1
1513381700 k /user/hand/right/output/haptic 1
1527268203 k /user/hand/left/output/haptic 1
1527268203 k /user/hand/right/output/haptic 1
1541148912 k /user/hand/left/output/haptic 1
1541148912 k /user/hand/right/output/haptic 1
1555032112 k /user/hand/left/output/haptic 1
1555032112 k /user/hand/right/output/haptic 1
1568921001 k /user/hand/left/output/haptic 1
1568921001 k /user/hand/right/output/haptic 1
1582810904 k /user/hand/left/output/haptic 1
1582810904 k /user/hand/right/output/haptic 1
1596685213 k /user/hand/left/output/haptic 1
1596685213 k /user/hand/right/output/haptic 1
1610574101 k /user/hand/left/output/haptic 1
1610574101 k /user/hand/right/output/haptic 1
1624462991 k /user/hand/left/output/haptic 1
1624462991 k /user/hand/right/output/haptic 1
1638345401 k /user/hand/left/output/haptic 1
1638345401 k /user/hand/right/output/haptic 1
1652224212 k /user/hand/left/output/haptic 1
1652224212 k /user/hand/right/output/haptic 1
1666113101 k /user/hand/left/output/haptic 1
1666113101 k /user/hand/right/output/haptic 1
1679998403 k /user/hand/left/output/haptic 1
1679998403 k /user/hand/right/output/haptic 1
1693882104 k /user/hand/left/output/haptic 1
1693882104 k /user/hand/right/output/haptic 1
1707764112 k /user/hand/left/output/haptic 1
1707764112 k /user/hand/right/output/haptic 1
1721653000 k /user/hand/left/output/haptic 1
1721653000 k /user/hand/right/output/haptic 1
1735534701 k /user/hand/left/output/haptic 1
1735534701 k /user/hand/right/output/haptic 1
1749420600 k /user/hand/left/output/haptic 1
1749420600 k /user/hand/right/output/haptic 1
1763306204 k /user/hand/left/output/haptic 1
1763306204 k /user/hand/right/output/haptic 1
1777191113 k /user/hand/left/output/haptic 1
1777191113 k /user/hand/right/output/haptic 1
1791080003 k /user/hand/left/output/haptic 1
1791080003 k /user/hand/right/output/haptic 1
1804953013 k /user/hand/left/output/haptic 1
1804953013 k /user/hand/right/output/haptic 1
1818841900 k /user/hand/left/output/haptic 1
1818841900 k /user/hand/right/output/haptic 1
1832723314 k /user/hand/left/output/haptic 1
1832723314 k /user/hand/right/output/haptic 1
1846607314 k /user/hand/left/output/haptic 1
1846607314 k /user/hand/right/output/haptic 1
1860496203 k /user/hand/left/output/haptic 1
1860496203 k /user/hand/right/output/haptic 1
1874381002 k /user/hand/left/output/haptic 1
1874381002 k /user/hand/right/output/haptic 1
1888262812 k /user/hand/left/output/haptic 1
1888262812 k /user/hand/right/output/haptic 1
1902147512 k /user/hand/left/output/haptic 1
1902147512 k /user/hand/right/output/haptic 1
1916031413 k /user/hand/left/output/haptic 1
1916031413 k /user/hand/right/output/haptic 1
1929920301 k /user/hand/left/output/haptic 1
1929920301 k /user/hand/right/output/haptic 1
1943800813 k /user/hand/left/output/haptic 1
1943800813 k /user/hand/right/output/haptic 1
1957689704 k /user/hand/left/output/haptic 1
1957689704 k /user/hand/right/output/haptic 1
