log start time: 08-02-2024_03-21-17
0 k /user/hand/left/output/haptic 1
0 k /user/hand/right/output/haptic 1
13933012 k /user/hand/left/output/haptic 1
13933012 k /user/hand/right/output/haptic 1
83306399 k /user/hand/left/output/haptic 1
83306399 k /user/hand/right/output/haptic 1
138841912 k /user/hand/left/output/haptic 1
138841912 k /user/hand/right/output/haptic 1
208276574 k /user/hand/left/output/haptic 1
208276574 k /user/hand/right/output/haptic 1
249930079 k /user/hand/left/output/haptic 1
249930079 k /user/hand/right/output/haptic 1
263815474 k /user/hand/left/output/haptic 1
263815474 k /user/hand/right/output/haptic 1
291585576 k /user/hand/left/output/haptic 1
291585576 k /user/hand/right/output/haptic 1
305467478 k /user/hand/left/output/haptic 1
305467478 k /user/hand/right/output/haptic 1
319344098 k /user/hand/left/output/haptic 1
319344098 k /user/hand/right/output/haptic 1
333232988 k /user/hand/left/output/haptic 1
333232988 k /user/hand/right/output/haptic 1
333232989 k /user/hand/left/output/haptic 1
333232989 k /user/hand/right/output/haptic 1
347117301 k /user/hand/left/output/haptic 1
347117301 k /user/hand/right/output/haptic 1
361011901 k /user/hand/left/output/haptic 1
361011901 k /user/hand/right/output/haptic 1
374886701 k /user/hand/left/output/haptic 1
374886701 k /user/hand/right/output/haptic 1
388769901 k /user/hand/left/output/haptic 1
388769901 k /user/hand/right/output/haptic 1
402649612 k /user/hand/left/output/haptic 1
402649612 k /user/hand/right/output/haptic 1
416538501 k /user/hand/left/output/haptic 1
416538501 k /user/hand/right/output/haptic 1
430426701 k /user/hand/left/output/haptic 1
430426701 k /user/hand/right/output/haptic 1
444344110 k /user/hand/left/output/haptic 1
444344110 k /user/hand/right/output/haptic 1
458188612 k /user/hand/left/output/haptic 1
458188612 k /user/hand/right/output/haptic 1
472077500 k /user/hand/left/output/haptic 1
472077500 k /user/hand/right/output/haptic 1
485999011 k /user/hand/left/output/haptic 1
485999011 k /user/hand/right/output/haptic 1
499887900 k /user/hand/left/output/haptic 1
499887900 k /user/hand/right/output/haptic 1
513726611 k /user/hand/left/output/haptic 1
513726611 k /user/hand/right/output/haptic 1
527615499 k /user/hand/left/output/haptic 1
527615499 k /user/hand/right/output/haptic 1
541499999 k /user/hand/left/output/haptic 1
541499999 k /user/hand/right/output/haptic 1
555384900 k /user/hand/left/output/haptic 1
555384900 k /user/hand/right/output/haptic 1
569267900 k /user/hand/left/output/haptic 1
569267900 k /user/hand/right/output/haptic 1
583154902 k /user/hand/left/output/haptic 1
583154902 k /user/hand/right/output/haptic 1
597039199 k /user/hand/left/output/haptic 1
597039199 k /user/hand/right/output/haptic 1
610918010 k /user/hand/left/output/haptic 1
610918010 k /user/hand/right/output/haptic 1
624806901 k /user/hand/left/output/haptic 1
624806901 k /user/hand/right/output/haptic 1
638691202 k /user/hand/left/output/haptic 1
638691202 k /user/hand/right/output/haptic 1
652575600 k /user/hand/left/output/haptic 1
652575600 k /user/hand/right/output/haptic 1
666461899 k /user/hand/left/output/haptic 1
666461899 k /user/hand/right/output/haptic 1
680392101 k /user/hand/left/output/haptic 1
680392101 k /user/hand/right/output/haptic 1
694230200 k /user/hand/left/output/haptic 1
694230200 k /user/hand/right/output/haptic 1
708114098 k /user/hand/left/output/haptic 1
708114098 k /user/hand/right/output/haptic 1
721995801 k /user/hand/left/output/haptic 1
721995801 k /user/hand/right/output/haptic 1
735883800 k /user/hand/left/output/haptic 1
735883800 k /user/hand/right/output/haptic 1
749768998 k /user/hand/left/output/haptic 1
749768998 k /user/hand/right/output/haptic 1
763649799 k /user/hand/left/output/haptic 1
763649799 k /user/hand/right/output/haptic 1
