log start time: 08-02-2024_03-23-39
0 k /user/hand/left/output/haptic 1
0 k /user/hand/right/output/haptic 1
13886399 k /user/hand/left/output/haptic 1
13886399 k /user/hand/right/output/haptic 1
83314190 k /user/hand/left/output/haptic 1
83314190 k /user/hand/right/output/haptic 1
138847900 k /user/hand/left/output/haptic 1
138847900 k /user/hand/right/output/haptic 1
208288456 k /user/hand/left/output/haptic 1
208288456 k /user/hand/right/output/haptic 1
249939755 k /user/hand/left/output/haptic 1
249939755 k /user/hand/right/output/haptic 1
263818966 k /user/hand/left/output/haptic 1
263818966 k /user/hand/right/output/haptic 1
291593457 k /user/hand/left/output/haptic 1
291593457 k /user/hand/right/output/haptic 1
305469578 k /user/hand/left/output/haptic 1
305469578 k /user/hand/right/output/haptic 1
319351877 k /user/hand/left/output/haptic 1
319351877 k /user/hand/right/output/haptic 1
333236878 k /user/hand/left/output/haptic 1
333236878 k /user/hand/right/output/haptic 1
347123578 k /user/hand/left/output/haptic 1
347123578 k /user/hand/right/output/haptic 1
347123579 k /user/hand/left/output/haptic 1
347123579 k /user/hand/right/output/haptic 1
361003787 k /user/hand/left/output/haptic 1
361003787 k /user/hand/right/output/haptic 1
374883798 k /user/hand/left/output/haptic 1
374883798 k /user/hand/right/output/haptic 1
388770098 k /user/hand/left/output/haptic 1
388770098 k /user/hand/right/output/haptic 1
402658988 k /user/hand/left/output/haptic 1
402658988 k /user/hand/right/output/haptic 1
416538200 k /user/hand/left/output/haptic 1
416538200 k /user/hand/right/output/haptic 1
430427088 k /user/hand/left/output/haptic 1
430427088 k /user/hand/right/output/haptic 1
444305199 k /user/hand/left/output/haptic 1
444305199 k /user/hand/right/output/haptic 1
458193598 k /user/hand/left/output/haptic 1
458193598 k /user/hand/right/output/haptic 1
472077100 k /user/hand/left/output/haptic 1
472077100 k /user/hand/right/output/haptic 1
485959799 k /user/hand/left/output/haptic 1
485959799 k /user/hand/right/output/haptic 1
499848688 k /user/hand/left/output/haptic 1
499848688 k /user/hand/right/output/haptic 1
513736288 k /user/hand/left/output/haptic 1
513736288 k /user/hand/right/output/haptic 1
527618890 k /user/hand/left/output/haptic 1
527618890 k /user/hand/right/output/haptic 1
541502987 k /user/hand/left/output/haptic 1
541502987 k /user/hand/right/output/haptic 1
555387589 k /user/hand/left/output/haptic 1
555387589 k /user/hand/right/output/haptic 1
569267500 k /user/hand/left/output/haptic 1
569267500 k /user/hand/right/output/haptic 1
583156386 k /user/hand/left/output/haptic 1
583156386 k /user/hand/right/output/haptic 1
597036899 k /user/hand/left/output/haptic 1
597036899 k /user/hand/right/output/haptic 1
610925787 k /user/hand/left/output/haptic 1
610925787 k /user/hand/right/output/haptic 1
624809689 k /user/hand/left/output/haptic 1
624809689 k /user/hand/right/output/haptic 1
638695488 k /user/hand/left/output/haptic 1
638695488 k /user/hand/right/output/haptic 1
652575700 k /user/hand/left/output/haptic 1
652575700 k /user/hand/right/output/haptic 1
666464588 k /user/hand/left/output/haptic 1
666464588 k /user/hand/right/output/haptic 1
680343698 k /user/hand/left/output/haptic 1
680343698 k /user/hand/right/output/haptic 1
694232299 k /user/hand/left/output/haptic 1
694232299 k /user/hand/right/output/haptic 1
708113298 k /user/hand/left/output/haptic 1
708113298 k /user/hand/right/output/haptic 1
722002190 k /user/hand/left/output/haptic 1
722002190 k /user/hand/right/output/haptic 1
735886087 k /user/hand/left/output/haptic 1
735886087 k /user/hand/right/output/haptic 1
749771089 k /user/hand/left/output/haptic 1
749771089 k /user/hand/right/output/haptic 1
763656685 k /user/hand/left/output/haptic 1
763656685 k /user/hand/right/output/haptic 1
