CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,73,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,2092MHz,8188,0,30.2C/0.0C,4.18ms,0.89ms,1.22ms,13.41ms,3(DR0,0.47,0.15(W0.22),1.00,18.82/23.97,22.03,1,1.21,0,0,15:35:37.186,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,73,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,2092MHz,8188,0,30.2C/0.0C,4.23ms,0.94ms,1.37ms,13.15ms,3(DR0,0.50,0.04(W0.05),1.00,19.31/24.14,22.54,1,1.21,0,0,15:35:38.186,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8188,0,30.2C/0.0C,4.23ms,1.04ms,1.23ms,13.13ms,3(DR0,0.49,0.09(W0.11),1.00,19.17/23.87,22.45,1,1.21,0,0,15:35:39.186,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,73,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,2092MHz,8188,0,30.2C/0.0C,4.16ms,0.88ms,1.21ms,13.10ms,3(DR0,0.47,0.13(W0.23),1.00,18.80/26.48,25.46,1,1.21,0,0,15:35:40.186,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8188,0,30.2C/0.0C,4.23ms,1.01ms,1.20ms,13.12ms,3(DR0,0.48,0.14(W0.23),1.00,20.42/25.88,24.38,1,1.21,0,0,15:35:41.186,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,73,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,2092MHz,8188,0,30.0C/0.0C,4.20ms,0.95ms,1.20ms,13.87ms,3(DR0,0.47,0.12(W0.15),1.00,20.83/24.69,23.67,1,1.21,0,0,15:35:42.186,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8188,0,30.0C/0.0C,4.18ms,0.93ms,1.25ms,13.87ms,3(DR0,0.47,0.10(W0.15),1.00,19.68/24.05,22.79,1,1.21,0,0,15:35:43.186,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,72,0ms,0,0,2,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8188,0,30.0C/0.0C,4.23ms,1.10ms,1.27ms,13.79ms,3(DR0,0.50,0.23(W0.28),1.00,19.30/22.91,22.02,1,1.21,0,0,15:35:44.186,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,72,0ms,0,0,0,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,2092MHz,8188,0,30.0C/0.0C,4.22ms,1.04ms,1.25ms,13.13ms,3(DR0,0.50,0.12(W0.15),1.00,19.24/22.62,21.77,1,1.21,0,0,15:35:45.186,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8188,0,30.0C/0.0C,4.18ms,0.91ms,1.18ms,13.13ms,3(DR0,0.47,0.15(W0.19),1.00,18.62/23.24,21.89,1,1.21,0,0,15:35:46.186,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
