device,app,app_details,is_record,is_wireless,repetition,energy(J),length(s),Energy per Second (J/s)
Quest-Pro,BeatSaber,PopStars-Easy,False,True,0.2,2072.963333676901,263.989,7.852461025561297
Quest-Pro,BeatSaber,PopStars-Hard,True,True,0,1946.394597372434,246.982,7.880714373405487
Quest-Pro,BeatSaber,PopStars-Hard,False,True,0.1,2274.6234749081123,263.915,8.618772994744944
Quest-Pro,BeatSaber,PopStars-Hard,False,True,0.2,2281.2137688752446,263.961,8.642237939980696
Quest-Pro,BeatSaber,PopStars-Medium,True,True,0,2043.0456962093976,255.825,7.986106503310458
Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.0,2092.3385922567595,260.868,8.020679394393945
Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.1,2095.028572676985,258.828,8.094288765809669
Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2,2141.3061181558555,259.842,8.240800633291984
Quest-Pro,Phasmophobia,Jenga,True,False,0,377.59585689395146,190.003,1.9873152365696936
Quest-Pro,Phasmophobia,Jenga,False,False,0.0,492.67193846734403,196.597,2.505999269914312
Quest-Pro,Phasmophobia,Jenga,False,False,0.1,486.396815267089,199.607,2.436772333971699
Quest-Pro,Phasmophobia,Jenga,False,False,0.2,461.5308656545545,197.549,2.3362855071630557
Quest-Pro,Phasmophobia,Jenga,True,True,0,1710.0467849061185,223.965,7.635330452999882
Quest-Pro,Phasmophobia,Jenga,False,True,0.0,1873.9247697243045,242.97,7.712576736734183
Quest-Pro,Phasmophobia,Jenga,False,True,0.1,1897.2974598492262,245.872,7.7166064450170255
Quest-Pro,Phasmophobia,Jenga,False,True,0.2,1816.3759485493056,235.782,7.70362431631467
Quest-Pro,PistolWhip,BlackMagic-Easy,True,False,0,113.27921257775901,232.627,0.4869564262865403
Quest-Pro,PistolWhip,BlackMagic-Easy,False,False,0.0,187.96207505556697,230.749,0.8145737362049975
Quest-Pro,PistolWhip,BlackMagic-Easy,False,False,0.1,308.306722534462,234.683,1.3137156186620333
Quest-Pro,PistolWhip,BlackMagic-Easy,False,False,0.2,297.8267843451606,233.879,1.2734225148267293
Quest-Pro,PistolWhip,BlackMagic-Easy,True,True,0,1883.129026481242,230.713,8.162214641052918
Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0,2101.027087946458,236.976,8.86599101996176
