timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1701962477283.5845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143405746162,17048374964,22238763,31937328,0,0,0,0,632381,26720037376,769699,16524341248,537.25,399520.609375,415.15625,3524.015624999942,3228.75,5.6,4701.0,0.0,4701.0,1813967692,1019296355,0,2042633653
1701962478294.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143417832282,17049471063,22240694,31939967,0,0,0,0,632382,26720053760,769754,16525238272,537.296875,399532.484375,415.171875,3524.156249999942,3228.875,2.7,4701.0,0.0,4701.0,1814050518,1019341729,0,2042891520
1701962479279.3296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143429520728,17050545419,22242548,31942474,0,0,0,0,632382,26720053760,769831,16526012416,537.359375,399544.046875,415.171875,3524.312499999942,3229.015625,3.0,4701.0,0.0,4701.0,1814131525,1019386053,0,2043179375
1701962480279.7173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143442039862,17051633992,22244453,31945036,0,0,0,0,632382,26720053760,769835,16526036992,537.390625,399555.796875,415.203125,3524.437499999942,3229.140625,2.6,4701.0,0.0,4701.0,1814207259,1019427684,0,2043390857
1701962481288.1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143455123884,17052712452,22246099,31947447,0,0,0,0,632382,26720053760,769885,16526647296,537.515625,399567.0,415.328125,3524.968749999942,3229.40625,8.5,4701.0,0.0,4701.0,1814317709,1019495935,0,2043863072
1701962482283.2585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143468493344,17053806529,22247750,31949947,0,0,0,0,632384,26720152064,769931,16528310272,537.59375,399578.390625,415.390625,3525.328124999942,3229.65625,6.2,4701.0,0.0,4701.0,1814429437,1019567899,0,2044304484
1701962483283.4097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143479912116,17054949850,22249695,31952554,0,0,0,0,632386,26720254464,769999,16529219584,537.671875,399590.03125,415.421875,3525.546874999942,3229.796875,3.9,4701.0,0.0,4701.0,1814554233,1019632324,0,2044711772
1701962484291.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143492617936,17056104230,22251649,31955163,0,0,0,0,632393,26720332288,770000,16529350656,537.71875,399601.703125,415.4375,3525.624999999942,3230.046875,3.2,4701.0,0.0,4701.0,1814666082,1019690177,0,2044995907
1701962485285.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143506020285,17057189918,22253531,31957693,0,0,0,0,632393,26720332288,770063,16530157568,537.71875,399613.453125,415.515625,3525.781249999942,3230.140625,2.7,4701.0,0.0,4701.0,1814769133,1019744375,0,2045280872
1701962486280.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143520344662,17058271023,22255401,31960263,0,0,0,0,632393,26720332288,770136,16530907136,537.734375,399625.046875,415.5625,3525.999999999942,3230.328125,3.9,4701.0,0.0,4701.0,1814873323,1019799021,0,2045537145
