timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1707271972712.321,0,0,0,0,0,0,0,0,72662428716,30702979208,68399546,25050518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1070,1,7,0,0,0,0,8107580,248449691648,4309283,149891081216,489,801280,0,0,2090.953125,1990457.890625,1734.453125,25207.781249999767,43748.4375,17.1,4701.0,0.0,4701.0,3750425440,2603086319,0,1865444954
1707271973716.1548,0,0,0,0,0,0,0,0,72665151537,30703666895,68402485,25052698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1070,1,7,0,0,0,0,8107580,248449691648,4309303,149891331072,489,801280,0,0,2091.015625,1990469.109375,1734.46875,25208.249999999767,43748.765625,7.2,4701.0,0.0,4701.0,3750472365,2603127525,0,1865601283
1707271974713.0156,0,0,0,0,0,0,0,0,72667805443,30704363412,68405760,25055089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1070,1,7,0,0,0,0,8107580,248449691648,4309307,149891408896,489,801280,0,0,2091.03125,1990480.609375,1734.484375,25208.484374999767,43749.046875,4.5,4701.0,0.0,4701.0,3750519705,2603171000,0,1865762329
1707271975705.548,0,0,0,0,0,0,0,0,72670717037,30705046401,68408965,25057495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1070,1,7,0,0,0,0,8107580,248449691648,4309315,149891970048,489,801280,0,0,2091.03125,1990491.828125,1734.5,25208.812499999767,43749.3125,5.2,4701.0,0.0,4701.0,3750559995,2603210120,0,1865898788
1707271976704.458,0,0,0,0,0,0,0,0,72673522721,30705744426,68412301,25059907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1070,1,7,0,0,0,0,8107580,248449691648,4309341,149892334592,489,801280,0,0,2091.03125,1990503.109375,1734.546875,25209.249999999767,43749.59375,6.4,4701.0,0.0,4701.0,3750605569,2603252693,0,1866054333
1707271977712.0435,0,0,0,0,0,0,0,0,72676062071,30706431077,68415303,25062147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1070,1,7,0,0,0,0,8107580,248449691648,4309343,149892420608,489,801280,0,0,2091.03125,1990514.78125,1734.578125,25209.453124999767,43749.859375,4.1,4701.0,0.0,4701.0,3750646664,2603291100,0,1866197338
1707271978710.2083,0,0,0,0,0,0,0,0,72679031387,30707114694,68418514,25064422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1070,1,7,0,0,0,0,8107581,248449708032,4309352,149892895744,489,801280,0,0,2091.078125,1990526.03125,1734.59375,25209.937499999767,43749.984375,5.6,4701.0,0.0,4701.0,3750690471,2603332199,0,1866351105
1707271979709.2043,0,0,0,0,0,0,0,0,72681869107,30707800041,68421880,25066819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1070,1,7,0,0,0,0,8107581,248449708032,4309380,149893186560,489,801280,0,0,2091.078125,1990537.484375,1734.609375,25210.281249999767,43750.1875,4.7,4701.0,0.0,4701.0,3750732999,2603372768,0,1866495357
1707271980709.5796,0,0,0,0,0,0,0,0,72684618677,30708490765,68424909,25069252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1070,1,7,0,0,0,0,8107581,248449708032,4309392,149893456896,489,801280,0,0,2091.09375,1990549.0,1734.640625,25210.578124999767,43750.375,4.4,4701.0,0.0,4701.0,3750774249,2603412287,0,1866635942
1707271981708.1575,0,0,0,0,0,0,0,0,72687402689,30709176689,68428248,25071636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1070,1,7,0,0,0,0,8107581,248449708032,4309393,149893460992,489,801280,0,0,2091.109375,1990560.28125,1734.65625,25210.953124999767,43750.71875,6.2,4701.0,0.0,4701.0,3750819607,2603454859,0,1866791409
